"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen"
"Adam","Barber","","1","1988 Honda CRX","P-STS","61.888","50.191","1","1","1","","64.282","","62.904","","62.275","","62.853","","85.472","RERUN","62.132","","78.964","RERUN","61.888",""
"Bernie","Kaeferlein","","421","2016 Scion FR-S","P-STX","62.031","50.617","4","4","2","","63.392","","62.444","1","62.22","","63.34","","62.031","","61.902","1"
"Mitchell","Welker","","76","1990 Mazda Miata","P-STS","62.385","50.594","3","3","3","","67.055","","64.783","","65.337","1","65.179","","63.201","","62.385",""
"FELIPE","GONZALEZ","","50","1990 Mazda Miata","P-STS","62.588","50.758","5","5","4","","65.623","","64.287","","62.989","","63.722","","62.588","","62.456","1"
"Joe","Deleon","","350","2003 Nissan 350z Violet silver","SSM","62.726","54.885","1","40","5","","65.804","","64.471","","80.188","1","62.726","","62.936",""
"Ron","Soliman","","277","2000 Honda  ","SSM","63.335","55.418","2","44","6","","70.835","","68.81","","65.595","","66.473","","64.32","","63.335","","63.937",""
"Michael","Waich","","527","1989 Honda Civic Si","P-STS","63.391","51.410","6","6","7","","65.711","","63.709","","63.391","","63.702","","84.295","RERUN 1","64.021","1","63.053","1"
"John","Mensch","","58","1999 Mazda Miata","P-XB","63.483","54.468","13","38","8","","65.052","1","63.706","","63.483","","64.706","","63.724","2","63.222","2"
"Jeffrey","Rye","","66","1999 Mazda Miata","P-ES","63.744","50.548","2","2","9","","65.767","","64.663","","64.13","1","64.158","","63.744","","63.419","1"
"Tony","Starks","","309","2004 Acura TL White","XA","63.859","54.024","1","31","10","","66.725","","65.272","1","64.895","","64.559","","63.859","","63.489","1"
"Charles","D'Cruz","","280","2017 Exomotive Exocet","C2-EM","63.994","57.466","7","68","11","","67.815","","65.048","","63.994","","63.858","1","64.055",""
"Tyler","Salminen","","68","2015 Scion Fr-s","Z-STX","64.053","52.267","3","13","12","","67.669","","66.03","","65.385","","65.289","","79.696","RERUN","64.178","","64.053",""
"David","Thompson","","158","2010 MazdaFord Miata","P-XB","64.438","55.287","14","42","13","","68.621","","67.472","","65.593","1","65.893","","64.129","3","64.438",""
"Jake","Rogers","","990","1990 Mazda Mx-5 Miata","Z-STS","64.492","52.303","4","14","14","","65.687","","64.927","","64.492","","65.406","1","66.272","2","64.619",""
"Ivan","Austin","","173","2004 Toyota MR2","P-ES","64.834","51.413","7","7","15","","65.267","","64.932","","68.998","RERUN 1","78.338","DNF","64.537","1","64.834",""
"Will","Cooke","","255","2013 Scion FR-S","Z-STX","65.066","53.093","7","19","16","","65.327","2","65.41","","65.066","","65.205","1","64.718","2","65.179",""
"Jeremy","Fohrenkamm","","976","1976 Triumph Spitfire","C2-EM","65.088","58.449","8","73","17","","65.81","","65.088","","97.743","DNF","66.932","1","66.243","","65.748","1"
"Brian","Ksicinski","","16","1999 Mazda Miata","P-ES","65.407","51.867","8","8","18","","67.298","","66.197","","65.562","","65.371","1","65.407","","64.987","2"
"Danny","Hagford","","170","2006 Honda Civic","C2-STX","65.506","53.452","1","25","19","","75.595","RERUN","68.584","","67.523","","67.755","1","78.075","RERUN","67.158","","65.506","","65.623",""
"Thomas","Braun","","159","2004 Mazda Mazdaspeed Miata","C2-STU","65.520","54.250","3","36","20","","67.863","","65.732","","65.819","","66.155","","65.52","","66.062",""
"Alan","Millard","","40","2005 Toyota MR-2 Spyder","Z-ES","65.552","51.982","1","9","21","","67.758","1","65.704","1","65.859","","66.049","1","82.019","RERUN","65.552","","65.22","1"
"Sara","Tessem","","70","1990 Mazda Miata","Z-STS","65.661","53.251","9","21","22","","69.126","1","66.561","","66.206","2","65.658","1","65.545","1","65.661",""
"Emilio","Rescigno","","402","2005 Toyota MR2","P-ES","65.683","52.086","9","10","23","","67.58","","66.19","DNF","65.949","","66.085","","65.683","","66.322",""
"Brandon","Cottrell","","403","2021 Toyota Supra Black","XA","65.784","55.653","2","50","24","","69.334","","67.659","","66.723","","67.222","","65.784","","68.23","1"
"Robin","Newborg","","79","2016 Volkswagen Golf GTi","P-GS","65.823","52.263","10","12","25","","67.374","","66.345","","66.972","","66.802","","66.955","","65.823",""
"Ron","Schwanz","","148","1990 Mazda Miata","Z-STS","65.830","53.388","10","22","26","","67.791","","66.849","","66.785","1","67.988","","65.83","","69.521","DNF"
"Dave","Farrell","","20","2006 Lotus Elise","Z-AS","65.850","54.062","16","32","27","","69.821","","67.607","","66.062","1","68.048","","66.541","","65.85",""
"Steve","Pahl","","317","1991 Honda CRX","Z-STS","65.909","53.452","12","24","28","","67.127","","63.909","1","64.403","2","64.481","1","64.502","2","64.213","1"
"Gretchen","Austin","","73","2004 Toyota MR2","P-ES","65.958","52.304","11","15","29","","70.079","","67.009","","66.32","","67.86","2","67.13","","65.958",""
"Adam","Quimby","","659","2011 Mazda Mazdaspeed3","Z-GS","66.010","52.411","5","16","30","","68.489","DNF","67.195","1","66.763","","67.032","1","66.01","","65.788","1"
"Nora","Eckhardt","","800","2018 Honda Civic type R White","SMF","66.014","55.517","1","47","31","","70.379","","67.994","","67.164","","67.592","","66.014","","66.629",""
"Jess","Meyer","","28","1980 Porsche 911 Tobacco","V","66.068","66.068","1","92","32","","69.644","","67.378","","66.39","","67.462","","66.068","","66.122",""
"Piero","Pucci","","518","2004 Mitsubishi Evolution 8 Yellow","SSM","66.088","57.827","3","69","33","","70.389","","66.172","","66.325","","66.088","","85.515","DNF","66.308",""
"Chris","Tadevich","","799","2004 BMW 330Ci","C2-STX","66.201","54.020","2","29","34","","68.054","2","67.614","2","67.629","","68.245","1","68.283","1","66.201",""
"Koun","Phah Moua","","137","2017 Volkswagen GTI White","SMF","66.265","55.728","2","52","35","","69.351","DNF","67.749","","67.751","","69.151","","67.127","3","66.265",""
"Sou","Vang","","9","2013 Mazda Miata Red","CS","66.268","53.610","1","27","36","","68.373","","67.601","","66.363","","67.473","","67.596","","66.268",""
"Nathan","Thalhuber","","711","1991 Toyota MR2 Red","XA","66.418","56.189","3","57","37","","69.706","DNF","68.826","","67.509","","68.382","","66.418","","90.971",""
"Kyle","Greene","","99","1999 Mazda Miata","Z-ES","66.459","52.701","6","17","38","","68.806","","67.854","","67.653","","67.815","1","66.918","1","66.459",""
"Tim","Malzahn","","475","1997 Acura Integra","SMF","66.498","55.924","3","54","39","","69.037","2","67.669","","67.752","1","66.925","1","66.286","1","66.498",""
"Steve","Garnjobst","","75","2016 Volkswagen GTI","Z-STH","66.526","54.085","17","33","40","","67.755","","66.965","","66.526","","68.288","4","67.138","","67.096",""
"Simon","Robins","145","750","2004 Chevrolet Corvette Z06 Yellow","CAMS","66.554","55.572","1","48","41","","69.025","1","67.171","","67.341","","68.15","1","66.554","","66.732",""
"Randy","Williams","","97","2021 Toyota GR Supra 2.0","C1-BS","66.569","54.187","1","35","42","","68.355","","67.896","","67.568","","67.635","","66.925","","66.569",""
"Ryan","Etheridge","","212","2017 Ford Focus ST Black","STH","66.586","54.134","1","34","43","","67.548","2","66.995","","66.218","1","67.107","1","66.586","","66.593",""
"Dwight","Anderson","","843","2019 Ford Fiesta ST","Z-HS","66.625","52.100","2","11","44","","68.508","","68.339","1","67.801","","67.365","","67.676","","66.625",""
"Peter","Hsu","","45","2019 Honda Type R","Z-DS","66.688","53.817","14","28","45","","67.386","DNF","68.634","","67.461","","67.75","2","68.466","","66.688",""
"Eric","Janssen","","320","1999 Mazda Miata","P-ES","66.789","52.963","12","18","46","","69.7","","68.153","","66.789","","68.02","","67.367","","67.336",""
"Blake","Doblinger","","621","1995 Mazda Miata White","SSM","66.819","58.466","4","74","47","","69.96","","67.763","","66.819","","67.459","","66.667","1","66.474","2"
"Zachary","Pursell","","154","2013 Scion FR-S","Z-DS","66.941","54.021","15","30","48","","70.232","1","68.436","1","66.941","","68.45","","67.817","1","66.95",""
