"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen","Run 9","Run 9 Pen"
"Trevor","Rowe","","789","0 -- Karts Formula SAE","C2-FSAE","29.948","29.618","3","62","1","","32.894","","31.287","","31.013","","29.948","","31.167","","30.943","","30.001","","30.103",""
"Adam","Barber","","1","1988 Honda CRX Si","P-STS","31.685","25.759","1","1","2","","32.454","","31.971","1","31.975","","32.034","","31.816","","31.685","","31.856","1","31.514","1"
"Bernie","Kaeferlein","","421","2016 Scion FR-S","P-STX","32.110","26.233","3","3","3","","33.115","","32.392","","43.292","RERUN","32.394","","32.269","","32.169","","32.11","","32.676","","32.372",""
"Cory","Miller","","890","2022 -- Purpose-built / V Mnsu fsae","C2-FSAE","32.221","31.866","5","85","4","","34.769","","32.66","","52.078","","38.268","","33.487","","33.422","","49.442","1","32.221",""
"Sean","Forthun","","290","1990 Mazda Miata","P-STS","32.238","26.209","2","2","5","","32.586","","32.238","","32.497","","32.318","","32.626","","32.345","1","32.629","","32.482",""
"Felipe","González","","50","1990 Mazda Miata","P-STS","32.307","26.265","4","4","6","","36.07","DNF","33.215","","32.584","","32.916","1","32.694","RERUN","32.402","","32.453","","32.307","","32.53",""
"Mitchell","Welker","","76","1990 Mazda Miata","P-STS","32.310","26.268","5","5","7","","33.423","","34.955","RERUN","32.952","","32.34","1","32.859","","32.31","","32.411","","32.32","","36.37","DNF"
"Jackson","Lee","","137","1990 Mazda Miata MX-5","P-STS","32.345","26.296","6","6","8","","32.577","1","33.511","1","33.1","","32.345","","33.078","1","32.099","1","32.12","1","32.559",""
"Michael","Waich","","527","1989 Honda Civic Si","P-STS","32.427","26.363","7","8","9","","33.26","3","32.948","","32.943","","32.887","","32.789","","33.11","","32.708","","32.427",""
"Jake","Rogers","","990","1990 Mazda Mx-5 Miata","P-STS","32.548","26.461","9","10","10","","34.038","","34.136","","33.732","","33.473","","32.791","","32.548","","32.746","","32.679","1"
"Simon","Robins","","107","2004 Chevrolet Corvette Z06","CAMS","32.601","27.319","1","19","11","","35.184","1","33.234","","33.445","","37.955","","33.19","","32.601","","33.092","","32.957",""
"Peter","hsu","","77","2019 Honda Type R","Z-DS","32.606","26.313","1","7","12","","35.066","1","33.739","","33.003","","33.632","1","33.895","","32.848","","32.606","","32.686","1"
"Derek","Kiefer","","69","1969 Chevrolet Chevelle","CAMT","32.656","26.647","1","12","13","","34.255","","33.738","","34.36","","33.595","","33.55","","33.296","","33.084","","32.656",""
"Jason","Lee","","37","1990 Mazda Miata MX-5","P-STS","32.673","26.563","10","11","14","","33.534","","33.647","","33.518","","33.429","","33.131","","32.724","1","33.545","1","32.673",""
"Tyler","Salminen","","68","2015 Scion Fr-s","Z-STX","32.973","26.938","2","16","15","","34.103","","34.094","","33.78","","33.657","","33.439","","33.09","","33.043","","32.973",""
"Nick","Wernet","","206","2006 Chevrolet Corvette Z06","CAMS","33.240","27.855","2","34","16","","43.771","","36.963","DNF","37.355","","38.148","","37.912","DNF","35.344","","36.472","","33.24",""
"Robin","Newborg","","79","2022 Volkswagen Golf GTI","P-GS","33.246","26.397","8","9","17","","33.878","","34.222","","33.246","","33.572","1","34.057","","33.58","","33.493","1","33.701",""
"Elizabeth","Byers","","727","2018 Honda Civic Type R","DS","33.294","26.868","1","15","18","","34.803","","33.426","1","33.927","","33.878","","33.366","","33.902","","34.036","","33.294",""
"Jesse","Sybesma","","404","2000 Toyota MR2 - Spyder","Z-XB","33.329","28.362","11","43","19","","35.462","","35.24","","35.075","","34.006","","33.329","","33.418","","34.45","1","33.949",""
"Nora","Eckhardt","","800","2018 Honda Civic type R","SMF","33.415","28.235","1","39","20","","36.304","","36.192","","35.855","DNF","35.457","","34.697","","34.185","","42.589","","33.415",""
"","Nicholas Bedell","","062","2013 Scion Frs","P-SSC","33.422","27.038","13","17","21","","34.516","","34.135","","34.275","","33.422","","54.981","RERUN","33.454","","34.334","","33.565","","33.528",""
"Mike","Roush","550","550","2015 Ford Mustang GT","CAMC","33.518","27.451","1","27","22","","36.352","","34.136","","34.304","","33.906","","34.419","","33.586","","33.518",""
"Nathan","Thalhuber","","711","1991 Toyota MR2","XA","33.612","28.301","1","40","23","","38.762","","35.564","","33.938","","33.612","","34.16","1","33.632","1","33.624","","34.132",""
"Chris","Medower","","117"," Mazda Miata","Z-STS","33.740","27.430","5","26","24","","34.998","","35.432","","61.646","RERUN","35.083","","34.595","","34.542","1","34.68","","33.74","","34.042",""
"Jon","Stef","","805","2011 Subaru WRX","STH","33.745","27.400","1","24","25","","37.219","","35.781","","34.774","","34.817","","34.638","","33.745","","33.803","","34.166",""
"Ryan","Thompson","","16","1999 Mazda Miata","P-ES","33.763","26.740","11","13","26","","34.761","","34.47","","34.26","","34.215","","33.91","","33.763","","34.059","","33.924",""
"Peter","Nolden","","726","2020 Mazda MX-5 Club","CS","33.765","27.349","1","22","27","","37.411","","35.52","","35.029","","34.648","","34.39","","33.932","","34.05","","33.765",""
"Sou","Vang","","9","2013 Mazda Miata","CS","33.782","27.363","2","23","28","","34.892","","34.437","","33.782","","33.973","","34.093","1","33.521","1","34.007","","34.115",""
"Brian","Ksicinski","","66","1999 Mazda Miata","P-ES","33.796","26.766","12","14","29","","34.399","","34.274","","34.16","","34.062","","33.941","","33.796","","34.038","","33.985",""
"Michael","Russell","","87","1996 BMW M3","STR","33.846","28.024","1","36","30","","44.939","DNF","36.007","","35.357","","35.261","","34.678","","34.052","","34.146","","33.846",""
"Lucas","Reller","","717","2021 Hyundai Veloster N","Z-DS","33.868","27.331","4","20","31","","36.693","","36.219","","34.909","","35.268","1","34.436","1","34.673","","33.868","","33.879",""
