"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen"
"Bernie","Kaeferlein","","421","2016 Scion FR-S","P-STX","35.081","28.661","1","1","1","","37.348","","37.207","2","35.744","","35.888","","35.875","","35.081","","35.811",""
"Chris","Weiske","","341","2011 Subaru WRX STi","XA","35.110","29.562","1","8","2","","38.31","","36.893","","36.411","","36.708","1","36.892","","35.649","1","35.11",""
"Neal","Tovsen","","92","2016 Scion FRS","P-STX","35.112","28.686","2","2","3","","37.34","1","35.868","1","35.692","","35.833","","35.375","","35.821","","35.112",""
"Piero","Pucci","","510","2004 Mitsubishi Evolution 8","XA","35.268","29.695","2","10","4","","41.24","","38.017","2","36.453","","37.312","","35.884","1","35.294","","39.068","RERUN 1","35.268",""
"Joe","Deleon","","350","2003 Nissan 350z","XA","35.283","29.708","3","11","5","","38.611","","37.044","1","36.729","","37.04","","37.276","","37.015","","35.283",""
"Adam","Barber","","1","1988 Honda CRX Si","P-STS","35.652","29.020","3","3","6","","38.814","","37.109","1","36.909","1","36.16","","36.054","1","52.554","1","35.652",""
"Alexey","Savin","","277","2005 Honda S2000","X","35.750","35.750","1","84","7","","39.369","","38.839","","36.804","","37.35","","36.655","","36.233","2","35.75",""
"Steve","Pahl","","317","1991 Honda CRX","Z-STS","35.966","29.276","2","5","8","","38.373","1","36.894","1","36.25","","36.344","","36.641","","36.215","","35.966",""
"Ross","Jacobs","","311","2017 Ford Focus RS","Z-DS","36.030","29.112","1","4","9","","38.186","3","37.705","","36.872","","36.936","1","36.828","2","36.401","","36.03",""
"Nathan","Witt","","487","1992 Mazda Miata","P-STS","36.306","29.553","4","7","10","","38.231","1","37.636","1","37.332","","37.327","","45.239","1","36.718","","36.306",""
"Mark","Maenpaa","","172","2018 Subaru Wrx","XA","36.312","30.574","4","26","11","","37.789","","40.101","1","37.268","1","37.203","","36.312","","36.372","","36.863",""
"Michael","Waich","","527","1989 Honda Civic Si","P-STS","36.361","29.597","5","9","12","","39.382","DNF","38.212","","37.355","","37.827","","37.337","1","36.811","","36.361",""
"John","Moravec","","89","2013 Scion FR-S","P-STX","36.485","29.808","6","12","13","","38.863","","38.318","","37.888","1","38.095","","37.486","","36.485","","36.593",""
"Adam","Quimby","","656","2022 Toyota GR 86","Z-DS","36.490","29.483","3","6","14","","38.882","","38.29","","37.005","","37.036","2","36.38","1","36.49","","36.665",""
"Jason","Hobbs","","17","2023 Tesla Model 3 Performance","P-EVX","36.653","30.495","13","23","15","","37.034","1","36.804","2","37.231","","37.34","","37.505","","36.902","","36.653",""
"Nathan","Thalhuber","","711","1991 Toyota MR2","XA","36.663","30.870","5","31","16","","40.776","1","39.44","","38.319","1","41.955","RERUN 1","37.169","1","36.663","","36.492","1"
"Tyler","Salminen","","68","2015 Scion Fr-s","P-STX","36.754","30.028","8","15","17","","38.034","","36.886","2","37.005","","36.704","1","37.084","","36.704","1","36.754",""
"Salah","Khuhro","","666","2021 Tesla Model 3 Long Range","P-EVX","36.836","30.647","14","28","18","","38.357","1","38.029","1","37.149","","36.847","","36.836","","37.516",""
"Brandon","Cottrell","","403","2021 Toyota Supra Black","XA","36.850","31.027","6","35","19","","41.592","1","42.846","","37.381","","38.612","","37.166","","36.85","","36.864",""
"Mitchell","Welker","","76","1990 Mazda Miata","P-STS","36.970","30.093","9","17","20","","38.649","","37.429","","37.21","","37.053","1","35.976","2","40.75","DNF","36.97",""
"Jacob","Witt","","987","1992 Mazda Miata","C2-STS","36.976","30.098","1","18","21","","38.304","","38.148","1","37.011","1","37.968","","36.699","1","36.181","1","36.976",""
"Tim","Malzahn","","475","2017 Honda Civic Type-R","Z-DS","37.031","29.921","4","14","22","","40.483","1","38.308","","45.343","2","38.351","","37.182","","37.031","","37.151","1"
"Jake","Rogers","","990","1990 Mazda Mx-5 Miata","P-STS","37.082","30.184","11","20","23","","38.427","1","37.927","","37.204","2","37.385","1","37.082","","37.226","","36.823","1"
"Patrick","Malzahn","","745","2017 Honda Civic Type-R","Z-DS","37.214","30.068","5","16","24","","38.323","","37.446","","37.259","","39.187","","37.505","1","37.326","","37.214",""
"Nicholas","Bedell","","62","2013 Scion Frs","P-SSC","37.322","30.118","10","19","25","","40.136","DNF","38.145","","38.021","1","38.314","1","38.478","1","38.728","","44.543","RERUN","37.322",""
