"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen","Run 9","Run 9 Pen"
"Matthew","Sebelski","","21","2001 Chevrolet Corvette Z06","Trackcross B","59.346","59.346","1","1","1","","62.37","","61.45","","60.493","","59.619","DNF","60.288","","59.751","","59.346",""
"Bryce","Allen","","19","2019 Porsche Cayman S","Trackcross C","60.071","60.071","1","2","2","","63.498","","60.886","","60.17","","63.315","DNF","60.854","","60.071","","60.117",""
"Joe","Deleon","","121","2001 Chevrolet Corvette Z06","Trackcross B","60.694","60.694","2","3","3","","67.339","","63.375","","61.588","","61.91","","60.694","","61.132","","60.813",""
"Tyler","Mack","","133","2012 Chevrolet Corvette","Trackcross C","61.626","61.626","2","4","4","","62.471","","61.923","","61.646","","61.626","","61.851","","61.948","","61.896",""
"Bernie","Kaeferlein","","421","2022 Toyota GR86","Trackcross E","61.736","61.736","1","5","5","","62.808","","62.386","","62.018","","61.736","","62.528","","62.347","","62.323","","63.654",""
"Gopihath","Ramchand","","360","2002 Honda S2000","Trackcross E","62.511","62.511","2","6","6","","64.183","","62.946","","62.8","","62.584","DNF","63.599","","62.511","","63.392",""
"Derek","Stinton","","706","2009 Chevrolet Corvette Z06","Trackcross A","62.570","62.570","1","7","7","","69.087","","63.977","","64.076","","62.904","","64.728","","63.467","","62.57",""
"Robert","Sorensen","","100","2014 Ford Mustang","Trackcross B","62.703","62.703","3","8","8","","63.363","","63.78","","63.22","","62.703","","63.393","","64.186","","63.716",""
"Nathan","Li","","89","2024 Acura Integra Type S","Trackcross D","62.776","62.776","1","9","9","","63.768","","62.776","","63.343","","63.033","","63.141","","67.68","","66.692",""
"Nick","Hiney","","423","2025 Honda Civic Type R","Trackcross D","63.033","63.033","2","10","10","","75.581","RERUN","65.13","","63.87","DNF","63.568","","63.839","DNF","64.809","","63.033","","63.668","","64.403","RERUN"
"Sean","Wilke","","556"," GR86 ","Trackcross E","63.231","63.231","3","11","11","","63.231","","123.464","OFF","64.797",""
"Bryan","Ganz","","741","2002 Chevrolet Corvette Z06","Trackcross C","63.493","63.493","3","12","12","","65.116","","65.124","","64.779","","63.493","","64.803","","64.663","","64.583",""
"Koun","Phah Moua","","83","2017 Volkswagen GTI","Trackcross C","63.582","63.582","4","13","13","","65.989","","63.76","","64.169","","63.707","","63.582","","66.695","DNF","64.658",""
"Leigh","Collyer","HDC03206452","84","2013 Subaru Impreza WRX","Trackcross C","64.262","64.262","5","14","14","","65.754","DNF","65.038","","64.346","","64.262","","65.69","","65.076","","68.932",""
"Rixin","Zhao","","233","2024 Acura Integra","Trackcross D","64.510","64.510","3","15","15","","65.75","","65.359","","64.584","","64.51","","65.381","","64.988","","64.887",""
"Anthony","Wolfe","","227","2002 Chevrolet Corvette Zo6","Trackcross C","64.766","64.766","6","16","16","","68.209","","66.938","","66.554","","66.572","","66.809","","64.77","","64.766",""
"Max","Otzenberger","","797","1998 Chevrolet Corvette","Trackcross C","65.393","65.393","7","17","17","","68.106","","65.626","","67.406","","65.393","","67.878","","66.636","","66.509",""
"Nicholas","Lemerond","","388","2019 Honda Civic Type R","Trackcross D","65.590","65.590","4","18","18","","66.718","","66.725","","65.858","","65.897","","65.98","","65.59","","65.877",""
"Alan","Millard","","40","2005 Porsche Boxster","Trackcross E","65.856","65.856","4","19","19","","66.142","","65.895","","65.856","","66.539",""
"Curt","Crouse","","29","2015 Ford Mustang GT","Trackcross D","66.133","66.133","5","20","20","","68.607","","66.61","","66.683","","66.133","","74.431","DNF","67.468","","67.422",""
"Ethan","Berge","","218","2018 Ford Mustang","Trackcross C","66.277","66.277","8","21","21","","68.505","","66.63","","66.339","","66.555","","67.096","","67.169","","66.277",""
"Cory","Smith","","105","2004 Mazda RX-8","Trackcross E","66.355","66.355","5","22","22","","68.568","","68.236","","66.355","","66.996","","67.748","","67.443","","67.579",""
"Courtney","Sampson","","315","2015 Dodge Challenger hellcat","Trackcross C","66.429","66.429","9","23","23","","67.61","","66.429","","82.246","","67.69","","66.772","","66.525","","66.657",""
"Owen","Boyle","","992","2017 Volkswagen Golf GTI","Trackcross F","66.590","66.590","1","24","24","","70.166","","67.879","","66.93","","66.59","","67.776","","68.46","","67.569",""
"John","Nichol","","444","2018 BMW BMW","Trackcross C","66.737","66.737","10","25","25","","69.08","","67.481","","67.737","","67.068","","66.953","","66.863","DNF","66.737",""
"Amanda","Romani","","623","2022 Hyundai Elantra N","Trackcross D","66.945","66.945","6","26","26","","77.649","","72.47","","70.645","DNF","70.262","","71.604","","68.03","","66.945",""
"Brady","Lubenow","","209","2004 Nissan 350z","Trackcross E","67.197","67.197","6","27","27","","74.533","","72.154","","70.18","","68.67","","69.838","RERUN","69.252","","67.985","","67.197",""
"Peter","Nolden","","726","2020 Mazda MX-5 Club","Trackcross F","67.205","67.205","2","28","28","","70.389","","68.44","","68.008","","67.594","","67.675","","67.819","","67.205",""
"Adam","Radtke","","197","2004 Mazda Miata","Trackcross G","67.271","67.271","1","29","29","","70.448","","68.198","","67.994","","69.215","","67.454","","71.521","DNF","67.271",""
"Dan","Willemssen","","219","2003 Mazda Miata","Trackcross D","67.432","67.432","7","30","30","","85.129","","68.887","","68.401","","67.432","","68.411","","68.873","","68.08",""
"Jeff","Lawrence","193","193","2002 Chevrolet Corvette Z06","Trackcross C","67.433","67.433","11","31","31","","70.267","","69.05","","68.711","","67.433","","68.433","","70.834","","68.954",""
"Steve","Algren","","144","2009 Chevrolet Corvette","Trackcross C","67.621","67.621","12","32","32","","69.569","","68.445","","67.783","","67.621","","68.828","","69.081","","68.862",""
"Joseph","Anderson","","492","2015 Dodge charger","Trackcross C","67.625","67.625","13","33","33","","68.231","","67.858","","67.701","","68.332","","67.972","","68.521","","67.625",""
"Sou","Vang","","9","2013 Mazda Miata","Trackcross F","67.854","67.854","3","34","34","","71.15","","69.096","","67.854","","68.343","","68.447","","67.93","","68.649","","67.222","RERUN"
"Carter","Smith","","177","2004 Mazda Miata","Trackcross G","68.109","68.109","2","35","35","","75.849","","72.335","","73.724","","71.227","","69.095","DNF","68.958","","68.109",""
"Tyler","Horn","","244","2023 Subaru BRZ","Trackcross E","68.349","68.349","7","36","36","","71.178","","147.334","RERUN","69.308","RERUN","68.942","","69.336","","68.831","","69.504","","68.349",""
"Bret","Otzenberger","","787","1998 Chevrolet Corvette","Trackcross C","68.688","68.688","14","37","37","","75.347","","72.46","","72.109","","71.734","","73.041","","69.484","","68.688",""
"Mark","Velasco","","888","2019 Volkswagen Golf R","Trackcross D","68.863","68.863","8","38","38","","69.666","","69.094","","70.369","","68.863",""
"Ryan","Huntley","","666","2017 Volkswagen GTI","Trackcross E","69.412","69.412","8","39","39","","72.745","","69.412","","71.344","","70.923","","71.683","RERUN","79.204","","71.808",""
"Brayden","Harr","","618","2009 Lexus Is250","Trackcross F","70.467","70.467","4","40","40","","77.875","","75.192","","73.231","","72.613","","71.414","","70.467","","70.742",""
"Thomas","Haider","","104","2022 Ford Shelby GT 500","Trackcross B","70.596","70.596","4","41","41","","77.298","","73.539","","73.244","","72.996","","72.377","","71.321","","70.596",""
"Braydon","Sparks","","201","2009 BMW 128i","Trackcross E","70.825","70.825","9","42","42","","75.566","","72.021","","70.825","","71.277","","71.944","","109.808","RERUN","72.606","","71.239",""
"Argel","Musngi","","437","2024 Toyota Gr86","Trackcross F","70.846","70.846","5","43","43","","72.307","","72.323","","72.781","","70.846","","71.906","","71.8","","73.088",""
"Pryce","Cha","","119","2010 Honda Fit","Trackcross G","71.075","71.075","3","44","44","","73.555","","71.445","","71.075","","71.525","","71.393","","71.373","","71.467",""
"Owen","Balcer","","108","2003 Volkswagen Golf GTI","Trackcross D","71.165","71.165","9","45","45","","96.957","RERUN","71.803","","72.846","","73.689","","71.951","","71.165","","72.422","","71.883",""
"Matthew","Goff","","413","2016 Ford Fiesta","Trackcross F","71.320","71.320","6","46","46","","76.278","","398.959","RERUN","72.601","RERUN","72.313","","71.32","","72.458","","97.131","OFF","73.755","OFF"
"Christopher","Stromme","","54","1999 BMW M3","Trackcross C","71.715","71.715","15","47","47","","73.869","","73.785","","73.749","","74.753","","74.468","","71.715","","72.463",""
"Ed","Wildeman","","200","1999 BMW M Roadster","Trackcross F","72.525","72.525","7","48","48","","72.525","","72.806","","73.106","","75.252","","73.221","","74.023","","73.411",""
"Erik","Ernst","","747","2012 Honda Fit","Trackcross G","72.838","72.838","4","49","49","","76.675","","74.692","","73.776","","74.58","","74.315","","73.699","","72.838",""
"Anthony","Decker","","774","2005 Mini R50 Cooper","Trackcross G","73.201","73.201","5","50","50","","75.484","","73.622","","73.214","","73.201","","74.417","","73.61","","73.763",""
"Ryker","Huseby","","660","1991 Honda Beat","Trackcross G","73.486","73.486","6","51","51","","75.602","","74.935","","74.847","","73.811","","75.188","","74.067","","73.486",""
"Jonathan","Decker","","477","2005 Mini Cooper","Trackcross G","73.994","73.994","7","52","52","","81.355","","77.424","","75.975","","75.397","","76.755","","73.994","","74.023",""
"Brody","Rouillard","","207","2002 Lexus Is300","Trackcross E","75.200","75.200","10","53","53","","93.868","","82.724","","80.733","","79.016","","77.039","","75.887","","75.2",""
"Dennis","OMeara","","112","2019 Chevrolet Corvette Grand Sport","Trackcross C","75.322","75.322","16","54","54","","84.764","","78.539","","79.544","","77.835","","98.836","RERUN","75.322","","75.642","","75.355",""
"Patrick","Olheiser","","299","2004 Chevrolet corvette","Trackcross C","75.510","75.510","17","55","55","","75.51","","76.013","","76.792","","76.596","","78.337","","77.42","","77.095",""
"Douglas","Lindman","","242","1986 Mazda Rx-15","Trackcross C","80.328","80.328","18","56","56","","82.958","","80.328","","83.029","","80.469",""
"Jesse","Boyle","","961"," Ford Mustang","Trackcross C","81.159","81.159","19","57","57","","85.456","","85.052","","86.314","","81.159","","81.455",""
"Leigh","Collyer","HDC03206452","284","2013 Subaru Impreza WRX","Trackcross C","-","-","-","-","-",""
"John","Witthaus","","539","2004 Mercury Grand Marquis Ice Blue","INVALID:D","-","-","-","-","-",""
"Thomas","Braun","","159","2004 Mazda Mazdaspeed Miata Titanium","INVALID:F","-","-","-","-","-",""
"Kenyon","Barnette","","356","2015 BMW 328i Silver","INVALID:F","-","-","-","-","-",""
"Daniel","Personius","","500","1997 BMW 318ti red","INVALID:F","-","-","-","-","-",""
"Tyler","Salminen","","68","2015 Scion Fr-s Asphalt","INVALID:E","-","-","-","-","-",""
"Nikolai","A Gybin","","757","2023 Toyota GR86 ","INVALID:E","-","-","-","-","-",""
"Eric","Romani","","718","2022 Hyundai Elantra N White","INVALID:D","-","-","-","-","-",""
"John","Heaser Jr","","770","2010 Chevrolet Camaro SS Inferno Orange","INVALID:A","-","-","-","-","-",""
"Michael","Keiser","","327","2011 BMW 128i white","INVALID:E","-","-","-","-","-",""
